"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance","Referenced in"
"Farmers--Juvenile fiction","general term","015498472","Monograph","Language material ; Text","Volume","GBB032737","","9781904357131","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person] ; Meek, Elin [person]","Mr Cadno Campus","Fantastic Mr Fox. Welsh","","","Wales","Hengoed","Rily Publications","2009","","82 pages, illustrations, 20 cm","","","Children's fiction","Welsh","Cyhoeddwyd yn wreiddiol = Originally published: London : Allen & Unwin, 1970","",""
"Fathers and sons","general term","018530284","Monograph","Language material ; Text","Online resource","GBB7I3690","","9780141930213","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Danny the champion of the world","","","","England","London","Puffin","2007","","1 online resource (213 pages), illustrations","823.914","ELD.DS.197117","Children's fiction ; Fiction","English","Originally published: London : Jonathan Cape, 1975","",""
"Fathers and sons","general term","018530609","Monograph","Language material ; Text","Online resource","GBB7K2093","","9780141931883","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Danny the champion of the world : plays for children","Danny the champion of the world","","","England","London","Puffin","2009","","1 online resource","822.914","ELD.DS.197321","Drama","English","Title from eBook information screen","",""
"Fathers and sons--Drama","general term","018530609","Monograph","Language material ; Text","Online resource","GBB7K2093","","9780141931883","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Danny the champion of the world : plays for children","Danny the champion of the world","","","England","London","Puffin","2009","","1 online resource","822.914","ELD.DS.197321","Drama","English","Title from eBook information screen","",""
"Fathers and sons--Juvenile drama","general term","015270465","Monograph","Language material ; Text","Volume","GBA953718","","9780141323763","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Danny the champion of the world : plays for children","Danny the champion of the world","","","England","London","Puffin","2009","","145 pages, illustrations, 20 cm","822.914","YK.2010.a.26321","Drama","English","","",""
"Fathers and sons--Juvenile drama","general term","018530609","Monograph","Language material ; Text","Online resource","GBB7K2093","","9780141931883","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Danny the champion of the world : plays for children","Danny the champion of the world","","","England","London","Puffin","2009","","1 online resource","822.914","ELD.DS.197321","Drama","English","Title from eBook information screen","",""
"Fathers and sons--Juvenile fiction","general term","011935376","Monograph","Language material ; Text","Volume","GBA1Z8354","","9780141311326","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Danny the champion of the world","","","","England","London","Puffin","2001","","213 pages, illustrations, 20 cm","823.914","YK.2001.a.16277","Children's fiction","English","Originally published : London : Jonathan Cape, 1975","",""
"Fathers and sons--Juvenile fiction","general term","015355873","Monograph","Language material ; Text","Volume","GBB0A0273","","9780435122218","Dahl, Roald","","person","","Bennett, Jill, 1934- [person] ; Dahl, Roald [person]","Danny, the champion of the world","","New windmill series","","England","Harlow","Heinemann","1977","","206 pages, illustrations, 20 cm","823.914","YK.2010.a.20714","Children's fiction","English","Children's plays ; First published: 1975","",""
"Fathers and sons--Juvenile fiction","general term","015967550","Monograph","Language material ; Text","Volume","GBB222619","","9781849671002","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person] ; Meek, Elin [person]","Danny pencampwr y byd","Danny the champion of the world. Welsh","","","Wales","Hengoed","Rily","2011","","213 pages, illustrations, 20 x 13 cm","823.912","YK.2012.a.27947","Children's fiction","Welsh","Cyhoeddwyd yn wreiddiol = Originally published: 1975","",""
"Fathers and sons--Juvenile fiction","general term","018112233","Monograph","Language material ; Text","Volume","GBB6J0297","","9781849673525","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Meek, Elin, translator [person]","Danny Pencampwr y Byd","Danny the champion of the world. Welsh","","","Wales","Hengoed","Rily","2016","","213 pages, black and white illustrations, 20 cm","","","Children's fiction","Welsh","Cyhoeddwyd yn wreiddiol yn Saesneg = Originally published in English: 1975","",""
"Fathers and sons--Juvenile fiction","general term","018530284","Monograph","Language material ; Text","Online resource","GBB7I3690","","9780141930213","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Danny the champion of the world","","","","England","London","Puffin","2007","","1 online resource (213 pages), illustrations","823.914","ELD.DS.197117","Children's fiction ; Fiction","English","Originally published: London : Jonathan Cape, 1975","",""
"Fiction in English","general term","008097290","Monograph","Language material ; Text","Volume","GB7936021","","9780718118648","Dahl, Roald","","person","","Dahl, Roald [person]","My uncle Oswald","","","","England","London","Joseph","1979","","221 pages, 23 cm","823.91","Nov.39645","","English","","",""
"Fiction in English--1900---Texts","general term","008097290","Monograph","Language material ; Text","Volume","GB7936021","","9780718118648","Dahl, Roald","","person","","Dahl, Roald [person]","My uncle Oswald","","","","England","London","Joseph","1979","","221 pages, 23 cm","823.91","Nov.39645","","English","","",""
"Fiction in English--1900-1945--Texts","general term","008097597","Monograph","Language material ; Text","Volume","GB8330309","","9780718122508","Dahl, Roald","","person","","Dahl, Roald [person]","The best of Roald Dahl","","","","England","London","Michael Joseph","1983","","xv, 401 pages, 23 cm","823.91 ; 823.912","X.950/22279","","English","","",""
"Fiction in English--1945---Texts","general term","007433751","Monograph","Language material ; Text","Volume","GB8730419","","9780905712925","Dahl, Roald","","person","","Dahl, Roald [person]","Kiss, kiss : Over to you ; Switch bitch ; Someone like you ; Four tales of the unexpected ; My Uncle Oswald","","","","England","London","Heinemann ; Octopus","1986","","816 pages, music, 24 cm","823.914","YC.1987.b.2952","","English","","",""
"Fiction in English--1945---Translations","general term","010167611","Monograph","Language material ; Text","Volume","","","9788305113137","Dahl, Roald","","person","","Dahl, Roald [person] ; Demkowska-Bohdziewicz, Ariadna [person]","Niespodzianki","Tales of the unexpected. Polish","","","Poland","Warszawa","Ksia̢żka i Wiedza","1984","","301 pages","","YA.1988.a.7595","","Polish","","",""
"Fiction in English--1945---Translations","general term","010169385","Monograph","Language material ; Text","Volume","","","9788310080004","Dahl, Roald","","person","","Kern, Ludwik Jerzy [person] ; Dahl, Roald [person]","Jakubek i brzoskwinia olbrzymka","James and the giant peach. Polish","","","Poland","Warszawa","Nasza Ksie̢garnia","1982","","111 pages, illustrations","","X.990/20316","","Polish","","",""
"Fiction in English--Dahl, Roald--1916---Biographies","general term","007362863","Monograph","Language material ; Text","Volume","GB8613687","","9780224024075","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","London","Cape","1986","","120 pages, 24 cm","823.912","YH.1987.b.588","","English","","",""
"Fiction in English--Dahl, Roald--1916---Biographies","general term","007375103","Monograph","Language material ; Text","Volume","GB8841242","","9780435123239","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","Heinemann new windmills","","England","London","Heinemann","1988","","208 pages, illustrations, 2 maps, facsimiles, portraits, 20 cm","823.912","YK.1988.a.3899","","English","Originally published: London : Cape, 1986","",""
"Fiction in English--Dahl, Roald--1916---Biographies","general term","008426736","Monograph","Language material ; Text","Sheet","GB8714657","","9781850891666","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","Oxford","ISIS Large","1987","","205 pages (large print), illustrations, facsimiles, 1 map, portraits, 24 cm","823.912","","","English","Originally published: London : Cape, 1986","",""
"Fiction in English--Dahl, Roald--1916---Biographies","general term","011307514","Monograph","Language material ; Text","Volume","GB8846396","","9780140103069","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","Harmondworth","Penguin","1987","","209 pages, illustrations, map, facsimiles, portraits, 20 cm","823.912","YC.1988.a.9382","","English","Originally published: London : Cape, 1986","",""
"Fiction in English--Dahl, Roald--1916---Biographies","general term","011930011","Monograph","Language material ; Text","Volume","GB8916534","","9780140325287","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","London","Puffin","1988","","209 pages, illustrations, maps, facsimiles, portraits, 20 cm","823.912","YC.1988.a.15137","","English","Originally published: London : Cape, 1986","",""
"Fiction in English--Dahl, Roald--Biographies","general term","007363275","Monograph","Language material ; Text","Volume","GB8425009","","9780224029858","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","England","London","Cape","1984","","160 pages, illustrations, facsimiles, portraits, 24 cm","823.912","X.990/23872","","English","portraits on lining papers","",""
"Fiction in English--Dahl, Roald--Biographies","general term","011929699","Monograph","Language material ; Text","Volume","GB8726682","","9780140318906","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","England","Harmondsworth","Puffin","1986","","176 pages, illustrations, facsimiles, portraits, 20 cm","823.912","YC.1987.a.4608","","English","Originally published: London : Cape, 1984","",""
"Fiction","general term","009052904","Monograph","Language material ; Text","Volume","GBA220487","","9780140041798","Dahl, Roald","","person","","Dahl, Roald [person]","Switch bitch","","","","England","London","Penguin","2001","","139 pages, 20 cm","823.914","H.2002/1640","","English","Originally published: London : Joseph, 1974","",""
"Fiction","general term","018511220","Monograph","Language material ; Text","Online resource","GBB7H2823","","9781101618721 ; 9781405911238","Dahl, Roald","","person","author","Dahl, Roald, author [person]","Bitch : one tale from the short story collection Switch Bitch","","","","United States of America","New York","Penguin","2012","","1 online resource","823.914","ELD.DS.183201","Fiction","English","'A Penguin special.'","",""
"Fiction--Authorship--Juvenile literature","general term","019113946","Monograph","Language material ; Text","Volume","GBB8K1008","","9780241384565","","","","","Dahl, Roald [person]","Roald Dahl's creative writing with Charlie and the chocolate factory : how to write tremendous characters","Charlie and the chocolate factory","","","England","London","Puffin","2019","","30 pages, illustrations, 30 cm","808.3","YKL.2019.b.4996","Children's literature","English","","",""
"Fiction--Authorship--Juvenile literature","general term","019113948","Monograph","Language material ; Text","Volume","GBB8K1010","","9780241384589","","","","","Dahl, Roald [person]","Roald Dahl's creative writing with Matilda : how to write spellbinding speech","Matilda","","","England","London","Puffin","2019","","30 pages, illustrations, 30 cm","808.3","YKL.2019.b.4997","Children's literature","English","","",""
"Fiction--Authorship--Juvenile literature","general term","019599638","Monograph","Language material ; Text","Volume","GBB9H9115","","9780241384619","","","","","Dahl, Roald [person]","Roald Dahl creative writing with Fantastic Mr Fox : how to write a marvellous plot","Fantastic Mr Fox","","","England","London","Puffin","2020","","1 volume, 30 cm","808.3","","Children's literature","English","","",""
"Fiction--Study and teaching (Secondary)--Great Britain","general term","007375340","Monograph","Language material ; Text","Volume","GB8938572","","9780435164034","Flynn, Linda","1959-","person","","West, Sally, 1975- [person] ; Dahl, Roald [person] ; Flynn, Linda, 1959- [person]","Going solo, Roald Dahl","Going solo","Heinemann fiction project ; Teaching strategies for literature and language","","England","Oxford","Heinemann","1989","","48 pages, illustrations, 30 cm","823.0071241","Cup.936/1089","","English","In plastic slip case","",""
"Fiction--Study and teaching (Secondary)--Great Britain","general term","007375344","Monograph","Language material ; Text","Volume","GB8917060","","9780435164102","Jeremy, Dianne","","person","","Dahl, Roald [person] ; Jeremy, Dianne [person]","Boy, Roald Dahl","Boy","Heinemann Fiction Project ; Teaching strategies for literature and language","","England","Oxford","Heinemann","1989","","48 pages, illustrations, forms, 30 cm","428.2","Cup.936/938","","English","In plastic slip case","",""
"Foxes","general term","018530273","Monograph","Language material ; Text","Online resource","GBB7I3683","","9780141929842 ; 9781101652985","Wood, David","1944-","person","adaptor","Wood, David, 1944-, adaptor [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","Fantastic Mister Fox","","","England ; United States of America","New York","Samuel French","2003","","1 online resource","822.92","ELD.DS.197106","Children's book ; Children's fiction ; Drama ; Fiction","English","Electronic book","",""
"Foxes--Fiction","general term","018530273","Monograph","Language material ; Text","Online resource","GBB7I3683","","9780141929842 ; 9781101652985","Wood, David","1944-","person","adaptor","Wood, David, 1944-, adaptor [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","Fantastic Mister Fox","","","England ; United States of America","New York","Samuel French","2003","","1 online resource","822.92","ELD.DS.197106","Children's book ; Children's fiction ; Drama ; Fiction","English","Electronic book","",""
"Foxes--Juvenile drama","general term","010073950","Monograph","Language material ; Text","Volume","GBA357292","","9780573051333","Wood, David","1944-","person","","Wood, David, 1944- [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Samuel French","2003","","43 pages, 22 cm","822.92","YK.2003.a.16960","Drama","English","","",""
"Foxes--Juvenile drama","general term","018365223","Monograph","Language material ; Text","Volume","GBB790784","","9780141374284","Reid, Sally","","person","author","Reid, Sally, author [person] ; Dahl, Roald [person]","Fantastic Mr Fox : the play","Fantastic Mister Fox ; Fantastic Mr Fox ; Roald Dahl's Fantastic Mr Fox","","","England","London","Puffin","2017","","vii, 59 pages, black and white illustrations, 20 cm","822.914","YC.2018.a.13123","Drama","English","Originally published as: Roald Dahl's Fantastic Mr Fox. London : Puffin books, 1987","",""
"Foxes--Juvenile drama","general term","018530273","Monograph","Language material ; Text","Online resource","GBB7I3683","","9780141929842 ; 9781101652985","Wood, David","1944-","person","adaptor","Wood, David, 1944-, adaptor [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","Fantastic Mister Fox","","","England ; United States of America","New York","Samuel French","2003","","1 online resource","822.92","ELD.DS.197106","Children's book ; Children's fiction ; Drama ; Fiction","English","Electronic book","",""
"Foxes--Juvenile fiction","general term","009694746","Monograph","Language material ; Text","Volume","GBA1Z9915","","9780141311289","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","2001","New edition","96 pages, illustrations, 20 cm","823.914","","Children's fiction","English","Originally published: London: Allen & Unwin, 1970","",""
"Foxes--Juvenile fiction","general term","011935298","Monograph","Language material ; Text","Volume","GBA0Z5968","","9780141307534","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","Young Puffin modern classics","","England","London","Puffin","2000","","105 pages, illustrations, 20 cm","823.914","YK.2002.a.5552","Children's fiction","English","Originally published: London : Allen & Unwin, 1970","",""
"Foxes--Juvenile fiction","general term","012271259","Monograph","Language material ; Text","Volume","GB9878223","","9780670880256","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","1998","New edition","81 pages, colour illustrations, 27 cm","823.914","","Children's fiction","English","Originally published: London: Allen and Unwin, 1970","",""
"Foxes--Juvenile fiction","general term","013766957","Monograph","Language material ; Text","Volume","GBA744918","","9780141322650","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","2007","","1 volume, illustrations, 20 cm","823.914","","Children's fiction","English","Originally published: London: Allen & Uniwin, 1970","",""
"Foxes--Juvenile fiction","general term","013806016","Monograph","Language material ; Text","Volume","GBA760258","","9781405661584","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","Bath","Galaxy","2007","Large print edition","99 pages (large print), illustrations, 22 cm","823.914","LT.2007.x.1713","Children's fiction ; Large print","English","Originally published: London: Allen & Uniwin, 1970","",""
"Foxes--Juvenile fiction","general term","015291218","Monograph","Language material ; Text","Volume","GBA958919","","9780141327761","","","","","Dahl, Roald [person]","Fantastic Mr Fox picture book","","","","England","London","Puffin","2009","","1 volume, colour illustrations","823.92","","Children's fiction ; Novel","English","Film tie-in","",""
"Foxes--Juvenile fiction","general term","015296399","Monograph","Language material ; Text","Volume","GBA961473","","9780141327778","Dahl, Roald","","person","","Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","2009","New edition, illustrated by Quentin Blake","81 pages, 8 pages of plates, illustrations (some colour), 20 cm","823.914","YK.2010.a.25466","Children's fiction","English","Film tie-in ; This edition originally published: London: Puffin, 1996","",""
"Foxes--Juvenile fiction","general term","015296402","Monograph","Language material ; Text","Volume","GBA961476","","9780141329109","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","2009","New edition, illustrated by Quentin Blake","80 pages, illustrations","823.914","","Children's fiction","English","Previous edition: London: Allen & Unwin, 1970","",""
"Foxes--Juvenile fiction","general term","015498472","Monograph","Language material ; Text","Volume","GBB032737","","9781904357131","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person] ; Meek, Elin [person]","Mr Cadno Campus","Fantastic Mr Fox. Welsh","","","Wales","Hengoed","Rily Publications","2009","","82 pages, illustrations, 20 cm","","","Children's fiction","Welsh","Cyhoeddwyd yn wreiddiol = Originally published: London : Allen & Unwin, 1970","",""
"Foxes--Juvenile fiction","general term","015550312","Monograph","Language material ; Text","Volume","GBB059919","","9780141333205","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","2010","","1 volume, illustrations, 20 cm","823.914","","Children's fiction","English","Originally published: London: Allen & Unwin, 1970","",""
"Foxes--Juvenile fiction","general term","016229086","Monograph","Language material ; Text","Volume","GBB2C4653","","9780141346441","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","2013","New edition","81 pages, illustrations, 20 cm","823.914","YK.2014.a.6178","Children's fiction","English","This edition originally published: 1996","",""
"Foxes--Juvenile fiction","general term","016520366","Monograph","Language material ; Still image ; Text","Volume","GBB394530","","9780141348827","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","","","","England","London","Puffin","2014","Colour edition, illustrated by Quentin Blake","80 pages, colour illustrations, 27 cm","823.914","","Children's fiction","English","","",""
"Foxes--Pictorial works--Juvenile fiction","general term","015296401","Monograph","Language material ; Text","Volume","GBA961475","","9780141328195","Dahl, Roald","","person","","Dahl, Roald [person]","Fantastic Mr Fox","","","","England","London","Puffin","2009","","32 pages, illustrations, 22 x 27 cm + 1 sound disc","823.914","EMC.2010.a.550","Children's fiction ; Novel ; Pictorial work","English","Film tie-in ; Includes 1 CD in pocket","",""
"General fiction (Children's / Teenage)","general term","018510639","Monograph","Language material ; Text","Online resource","","","9780241328170","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Danny, the Champion of the World (colour edition)","","","","England ; United Kingdom","London","Puffin","2018","","1 online resource (192 pages)","","ELD.DS.182620","","English","","",""
"Ghost short stories in English--1900---Anthologies","general term","007362660","Monograph","Language material ; Text","Volume","GB8327839","","9780224021494","","","","","Dahl, Roald [person]","Roald Dahl's book of ghost stories","","","","England","London","Cape","1983","","235 pages, 23 cm","823.0108375","X.950/27588","","English","","",""
"Ghost short stories in English--1900---Anthologies","general term","011306573","Monograph","Language material ; Text","Volume","GB8601707","","9780140071788","","","","","Dahl, Roald [person]","Roald Dahl's book of ghost stories","","","","England","Harmondsworth","Penguin","1985","","249 pages, 18 cm","823.0108375","H.86/267","","English","Originally published: London : Cape, 1983","",""
"Ghost stories, American","general term","007362660","Monograph","Language material ; Text","Volume","GB8327839","","9780224021494","","","","","Dahl, Roald [person]","Roald Dahl's book of ghost stories","","","","England","London","Cape","1983","","235 pages, 23 cm","823.0108375","X.950/27588","","English","","",""
"Ghost stories, English","general term","007362660","Monograph","Language material ; Text","Volume","GB8327839","","9780224021494","","","","","Dahl, Roald [person]","Roald Dahl's book of ghost stories","","","","England","London","Cape","1983","","235 pages, 23 cm","823.0108375","X.950/27588","","English","","",""
"Ghost stories, English","general term","011306573","Monograph","Language material ; Text","Volume","GB8601707","","9780140071788","","","","","Dahl, Roald [person]","Roald Dahl's book of ghost stories","","","","England","Harmondsworth","Penguin","1985","","249 pages, 18 cm","823.0108375","H.86/267","","English","Originally published: London : Cape, 1983","",""
"Ghost stories, English","general term","015894482","Monograph","Language material ; Text","Volume","GBB1B0155","","9780241955710","","","","","Dahl, Roald, editor [person]","Roald Dahl's book of ghost stories","Book of ghost stories","","","England","London","Penguin","2012","","307 pages, 20 cm","823.0873308","YK.2013.a.7799","","English","","",""
"Giants","general term","018510942","Monograph","Language material ; Text","Online resource","GBB7L4133","","9780141378572","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The BFG","B.F.G","","","England","London","Puffin","2015","Colour edition","1 online resource, colour illustrations","823.914","ELD.DS.182923","Children's fiction ; Fiction ; Humour or satire","English","Originally published by Jonathon Cape, 1982","",""
"Giants","general term","018530280","Monograph","Language material ; Text","Online resource","GBB7I3687","","9780141930138","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","My Roald Dahl","","England","London","Puffin","2007","","1 online resource (198 pages), illustrations","823.914","ELD.DS.197113","Children's fiction ; Fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1982","",""
"Giants","general term","019022463","Monograph","Language material ; Text","Online resource","GBB8H3929","","9780141930299","Wood, David","1944-","person","","Walmsley, Jane, illustrator [person] ; Dahl, Roald, 1916- [person] ; Wood, David, 1944- [person]","The BFG : the plays","BFG ; BFG: plays for children","","","United Kingdom","","Puffin","2017","","1 online resource, illustrations","822.914","ELD.DS.320104","Drama","English","Originally published as: The BFG: plays for children, 1993","",""
"Giants--Drama","general term","019022463","Monograph","Language material ; Text","Online resource","GBB8H3929","","9780141930299","Wood, David","1944-","person","","Walmsley, Jane, illustrator [person] ; Dahl, Roald, 1916- [person] ; Wood, David, 1944- [person]","The BFG : the plays","BFG ; BFG: plays for children","","","United Kingdom","","Puffin","2017","","1 online resource, illustrations","822.914","ELD.DS.320104","Drama","English","Originally published as: The BFG: plays for children, 1993","",""
"Giants--Fiction","general term","007362571","Monograph","Language material ; Text","Volume","GB8225524","","9780224020404","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Cape","1982","","224 pages, illustrations, 24 cm","823.912","X.990/19566","","English","","",""
"Giants--Juvenile drama","general term","019022463","Monograph","Language material ; Text","Online resource","GBB8H3929","","9780141930299","Wood, David","1944-","person","","Walmsley, Jane, illustrator [person] ; Dahl, Roald, 1916- [person] ; Wood, David, 1944- [person]","The BFG : the plays","BFG ; BFG: plays for children","","","United Kingdom","","Puffin","2017","","1 online resource, illustrations","822.914","ELD.DS.320104","Drama","English","Originally published as: The BFG: plays for children, 1993","",""
"Giants--Juvenile fiction","general term","007364132","Monograph","Language material ; Text","Volume","GBA1V2652","","9780224064521","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Jonathan Cape","2002","","272 pages, illustrations, 18 cm","823.914","YK.2002.a.2767","Children's fiction","English","This edition originally published: 1982","",""
"Giants--Juvenile fiction","general term","008394376","Monograph","Language material ; Text","Volume","GB99Z6430","","9780754060543","Dahl, Roald","","person","author","Dahl, Roald, author [person]","The BFG","","Galaxy children's large print","","England","Bath","Chivers Press","1999","Large print edition","231 pages (large print), 22 cm","823.914","LT.2016.x.1809","Children's fiction ; Humour or satire ; Large print","English","'A Galaxy children's book'--Cover ; Standard print edition originally published: London : Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","009694698","Monograph","Language material ; Text","Volume","GB99Z8843","","9780141302836","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Puffin","1999","New edition","192 pages, illustrations, 20 cm","823.914","","Children's fiction ; Humour or satire","English","","",""
"Giants--Juvenile fiction","general term","011935380","Monograph","Language material ; Text","Volume","GBA1Z9907","","9780141311371","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Puffin","2001","","198 pages, illustrations, 1 portrait, 20 cm","823.914","YK.2001.a.5373","Children's fiction ; Humour or satire","English","Originally published: London : Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","012938280","Monograph","Language material ; Text","Volume","GBA446265","","9781904357032","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person] ; Meek, Elin [person]","Yr CMM","BFG. Welsh","","","Wales","Hengoed","Rily Publications","2003","","199 pages, illustrations, 20 cm","","","Children's fiction","Welsh","Addasiad Cymraeg gan = Welsh adaptation by : Elin Meek ; Argraffiad Saesneg gwreiddiol = Original English edition : London : Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","013761099","Monograph","Language material ; Text","Volume","GBA742827","","9780141323442","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","My Roald Dahl","","England","London","Puffin","2007","","1 volume, illustrations, 20 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","013766955","Monograph","Language material ; Text","Volume","GBA744916","","9780141322629","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Puffin","2007","","1 volume, illustrations, 20 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","015489016","Monograph","Language material ; Text","Volume","GBB027453","","9780141332161","Dahl, Roald","","person","","Richardson, Natasha [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Puffin","2010","","198 pages, 20 cm + 4 sound discs","823.914","","Children's fiction ; Humour or satire","English","Compact disc ; Originally published: without accompanying CD New York: Farrar, Straus and Giroux; London: Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","015565973","Monograph","Language material ; Text","Volume","GBB066889","","9780224083843","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Jonathan Cape","2010","","1 volume, illustrations, 19 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: New York: Farrar, Straus and Giroux; London: Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","016014500","Monograph","Language material ; Text","Volume","GBB206157","","9780141343013","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Puffin","2012","","198 pages, illustrations, 20 cm","823.914","YK.2013.a.4207","Children's fiction ; Humour or satire","English","Originally published: New York: Farrar, Straus and Giroux; London: Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","016150545","Monograph","Language material ; Text","Volume","GBB301350","","9781904357889","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person] ; Meek, Elin [person]","Yr CMM (yr Ēc Ēm Ēm)","BFG. Welsh","","","Wales","Hengoed","Rily Publications","2012","","193 pages, illustrations, 20 cm","","","Children's fiction ; Humour or satire","Welsh","Cyhoeddwyd y cyfieithiad yn wreiddiol = Tranlsation originally published: 2003 ; Cyhoeddwyd yn wreiddiol yn Saesneg = Originally published in English: London: Puffin, 1982","",""
"Giants--Juvenile fiction","general term","016229084","Monograph","Language material ; Text","Volume","GBB2C4651","","9780141346427","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","","","England","London","Puffin","2013","","198 pages, illustrations, 20 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: New York: Farrar, Straus and Giroux; London: Jonathan Cape, 1982","",""
"Giants--Juvenile fiction","general term","017990428","Monograph","Language material ; Text","Volume","GBB6B8999","","9781849673365","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Meek, Elin, translator [person]","Yr CMM (Yr Ec Em Em)","BFG. Welsh","","","Wales","Caerffili","Rily","2016","","198 pages, black and white illustrations, 20 cm","823.914","YKL.2017.a.11993","Children's fiction","Welsh","Cyhoeddwyd yn wreiddiol = Originally published: 1982","",""
